CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST000102,146,1,2009.63,5,1,3,513,Others
CUST000103,1233,2,544.31,1,2,1,121,Lost Customers
CUST000104,180,2,388.09000000000003,4,2,1,421,Others
CUST000105,363,5,2138.8,4,5,3,453,Loyal Customers
CUST000107,266,2,1778.95,4,2,3,423,Others
CUST000108,254,4,2228.13,4,5,4,454,Champions
CUST000109,350,2,1499.71,4,2,3,423,Others
CUST000110,2,3,4204.21,5,4,5,545,Champions
CUST000112,346,3,3073.67,4,4,4,444,Champions
CUST000113,305,1,292.81,4,1,1,411,Others
CUST000115,113,3,2479.67,5,4,4,544,Champions
CUST000116,506,2,2850.1099999999997,3,2,4,324,Others
CUST000119,206,3,2942.56,4,4,4,444,Champions
CUST000120,1382,1,323.0,1,1,1,111,Lost Customers
CUST000121,54,4,4097.08,5,5,5,555,Champions
CUST000123,42,4,2268.66,5,5,4,554,Champions
CUST000126,782,4,1522.33,2,5,3,253,Loyal Customers
CUST000127,107,2,2003.3899999999999,5,2,3,523,Others
CUST000128,462,2,3416.25,3,2,5,325,Others
CUST000130,1324,1,1486.25,1,1,3,113,Lost Customers
CUST000131,1347,1,2466.19,1,1,4,114,Lost Customers
CUST000132,1617,1,816.11,1,1,2,112,Lost Customers
CUST000133,1257,1,359.95,1,1,1,111,Lost Customers
CUST000134,730,2,4020.4700000000003,2,2,5,225,Lost Customers
CUST000135,266,2,2008.2199999999998,4,2,3,423,Others
CUST000136,1032,1,297.72,2,1,1,211,Lost Customers
CUST000137,109,4,4621.53,5,5,5,555,Champions
CUST000138,12,6,5457.71,5,5,5,555,Champions
CUST000139,76,6,5485.71,5,5,5,555,Champions
CUST000140,327,1,1140.76,4,1,2,412,Others
CUST000141,887,3,1156.37,2,4,2,242,At Risk
CUST000144,1801,1,203.06,1,1,1,111,Lost Customers
CUST000145,1695,1,2649.96,1,1,4,114,Lost Customers
CUST000146,98,3,1374.51,5,4,2,542,Potential Loyalists
CUST000147,824,2,1693.52,2,2,3,223,Lost Customers
CUST000148,591,1,783.58,3,1,2,312,Others
CUST000149,122,2,1270.2,5,2,2,522,Others
CUST000150,1137,1,1379.35,1,1,2,112,Lost Customers
CUST000151,501,3,1911.28,3,4,3,343,Loyal Customers
CUST000152,1195,5,1459.8200000000002,1,5,3,153,Loyal Customers
CUST000153,663,1,57.05,3,1,1,311,Others
CUST000154,468,2,1370.74,3,2,2,322,Others
CUST000155,1650,1,1761.45,1,1,3,113,Lost Customers
CUST000156,191,2,1777.3300000000002,4,2,3,423,Others
CUST000157,1381,2,1238.46,1,2,2,122,Lost Customers
CUST000158,900,3,2935.9799999999996,2,4,4,244,Loyal Customers
CUST000159,291,2,2122.01,4,2,3,423,Others
CUST000160,965,5,1988.1599999999999,2,5,3,253,Loyal Customers
CUST000161,163,3,2252.22,5,4,4,544,Champions
CUST000162,431,1,745.36,3,1,2,312,Others
CUST000163,1437,1,1089.83,1,1,2,112,Lost Customers
CUST000164,425,5,4248.28,3,5,5,355,Loyal Customers
CUST000165,454,1,865.32,3,1,2,312,Others
CUST000166,589,2,2935.2799999999997,3,2,4,324,Others
CUST000167,1493,1,171.97,1,1,1,111,Lost Customers
CUST000168,745,1,2442.34,2,1,4,214,Lost Customers
CUST000169,103,4,6813.650000000001,5,5,5,555,Champions
CUST000170,370,4,4652.0,4,5,5,455,Champions
CUST000171,179,2,558.21,4,2,1,421,Others
CUST000172,1233,1,1376.02,1,1,2,112,Lost Customers
CUST000173,771,1,366.02,2,1,1,211,Lost Customers
CUST000174,485,2,1203.62,3,2,2,322,Others
CUST000176,940,1,522.94,2,1,1,211,Lost Customers
CUST000177,37,2,1544.04,5,2,3,523,Others
CUST000178,366,2,871.72,4,2,2,422,Others
CUST000179,1463,1,185.21,1,1,1,111,Lost Customers
CUST000180,147,7,4954.05,5,5,5,555,Champions
CUST000183,20,3,2221.32,5,4,3,543,Loyal Customers
CUST000184,294,1,1150.3,4,1,2,412,Others
CUST000185,368,2,506.41999999999996,4,2,1,421,Others
CUST000186,1816,1,1002.32,1,1,2,112,Lost Customers
CUST000188,706,4,3356.62,2,5,5,255,Loyal Customers
CUST000189,505,1,739.02,3,1,2,312,Others
CUST000190,908,1,264.69,2,1,1,211,Lost Customers
CUST000191,362,2,1908.93,4,2,3,423,Others
CUST000192,82,3,1889.94,5,4,3,543,Loyal Customers
CUST000193,970,2,1386.3799999999999,2,2,2,222,Lost Customers
CUST000194,786,1,741.08,2,1,2,212,Lost Customers
CUST000195,400,1,766.71,3,1,2,312,Others
CUST000196,1801,1,688.99,1,1,1,111,Lost Customers
CUST000197,317,3,3019.76,4,4,4,444,Champions
CUST000198,913,1,612.66,2,1,1,211,Lost Customers
CUST000199,198,2,1247.08,4,2,2,422,Others
CUST000200,77,5,3271.38,5,5,4,554,Champions
CUST000203,603,3,2907.8599999999997,3,4,4,344,Loyal Customers
CUST000204,755,2,3098.64,2,2,4,224,Lost Customers
CUST000206,508,2,620.13,3,2,1,321,Others
CUST000207,1390,1,156.56,1,1,1,111,Lost Customers
CUST000208,562,1,496.0,3,1,1,311,Others
CUST000209,18,4,4162.34,5,5,5,555,Champions
CUST000210,400,2,1759.0,3,2,3,323,Others
CUST000211,618,5,3642.16,3,5,5,355,Loyal Customers
CUST000212,1756,1,137.06,1,1,1,111,Lost Customers
CUST000213,862,2,3546.0899999999997,2,2,5,225,Lost Customers
CUST000214,402,1,1103.48,3,1,2,312,Others
CUST000215,14,6,6449.26,5,5,5,555,Champions
CUST000216,1764,1,1329.02,1,1,2,112,Lost Customers
CUST000217,240,2,1414.0,4,2,2,422,Others
CUST000218,792,2,352.54,2,2,1,221,Lost Customers
CUST000219,1065,2,4528.4400000000005,2,2,5,225,Lost Customers
CUST000220,530,3,3360.69,3,4,5,345,Loyal Customers
CUST000222,1106,1,60.97,1,1,1,111,Lost Customers
CUST000223,119,4,3212.6,5,5,4,554,Champions
CUST000224,1686,1,444.57,1,1,1,111,Lost Customers
CUST000225,1490,1,454.69,1,1,1,111,Lost Customers
CUST000227,433,1,695.74,3,1,1,311,Others
CUST000228,1167,2,408.04999999999995,1,2,1,121,Lost Customers
CUST000229,217,3,3046.15,4,4,4,444,Champions
CUST000231,957,2,692.5,2,2,1,221,Lost Customers
CUST000232,196,3,1541.58,4,4,3,443,Loyal Customers
CUST000233,457,1,149.9,3,1,1,311,Others
CUST000234,132,5,5256.79,5,5,5,555,Champions
CUST000235,117,3,3904.91,5,4,5,545,Champions
CUST000236,125,2,401.95000000000005,5,2,1,521,Others
CUST000237,25,5,2050.62,5,5,3,553,Loyal Customers
CUST000238,274,1,646.08,4,1,1,411,Others
CUST000239,562,2,5681.43,3,2,5,325,Others
CUST000240,621,4,3409.9100000000003,3,5,5,355,Loyal Customers
CUST000241,617,1,405.87,3,1,1,311,Others
CUST000242,557,3,3811.33,3,4,5,345,Loyal Customers
CUST000243,1292,1,63.36,1,1,1,111,Lost Customers
CUST000244,65,4,3135.63,5,5,4,554,Champions
CUST000245,95,2,1918.59,5,2,3,523,Others
CUST000246,331,2,999.51,4,2,2,422,Others
CUST000247,510,2,2537.7,3,2,4,324,Others
CUST000248,142,1,1315.7,5,1,2,512,Others
CUST000250,505,3,2821.67,3,4,4,344,Loyal Customers
CUST000251,1056,1,631.14,2,1,1,211,Lost Customers
CUST000253,784,2,1117.06,2,2,2,222,Lost Customers
CUST000254,752,1,1652.07,2,1,3,213,Lost Customers
CUST000255,912,4,4603.94,2,5,5,255,Loyal Customers
CUST000256,982,1,425.63,2,1,1,211,Lost Customers
CUST000257,843,1,23.02,2,1,1,211,Lost Customers
CUST000258,1103,1,1265.93,1,1,2,112,Lost Customers
CUST000259,85,1,861.46,5,1,2,512,Others
CUST000260,641,2,1390.85,3,2,2,322,Others
CUST000261,385,1,1140.8,4,1,2,412,Others
CUST000264,446,4,3347.27,3,5,5,355,Loyal Customers
CUST000265,820,1,1330.1,2,1,2,212,Lost Customers
CUST000266,633,1,974.3,3,1,2,312,Others
CUST000267,1115,2,2448.95,1,2,4,124,Lost Customers
CUST000268,407,3,2834.88,3,4,4,344,Loyal Customers
CUST000269,512,2,1559.0700000000002,3,2,3,323,Others
CUST000270,725,3,1388.69,2,4,2,242,At Risk
CUST000272,637,2,1452.44,3,2,3,323,Others
CUST000274,914,1,1010.4,2,1,2,212,Lost Customers
CUST000275,136,2,909.17,5,2,2,522,Others
CUST000276,772,1,438.33,2,1,1,211,Lost Customers
CUST000277,51,2,745.67,5,2,2,522,Others
CUST000278,232,6,4338.08,4,5,5,455,Champions
CUST000279,957,2,4970.1,2,2,5,225,Lost Customers
CUST000280,996,2,3469.6,2,2,5,225,Lost Customers
CUST000281,180,2,607.02,4,2,1,421,Others
CUST000282,278,3,3750.21,4,4,5,445,Champions
CUST000283,1462,1,794.08,1,1,2,112,Lost Customers
CUST000284,261,2,1542.08,4,2,3,423,Others
CUST000285,104,4,3503.91,5,5,5,555,Champions
CUST000287,541,1,2316.48,3,1,4,314,Others
CUST000289,251,3,2295.97,4,4,4,444,Champions
CUST000290,1317,1,1637.91,1,1,3,113,Lost Customers
CUST000291,260,1,225.4,4,1,1,411,Others
CUST000292,117,3,1219.02,5,4,2,542,Potential Loyalists
CUST000293,335,3,3333.31,4,4,4,444,Champions
CUST000294,903,3,1887.68,2,4,3,243,Loyal Customers
CUST000295,920,4,5394.02,2,5,5,255,Loyal Customers
CUST000296,210,2,1004.28,4,2,2,422,Others
CUST000297,1285,2,1406.33,1,2,2,122,Lost Customers
CUST000302,1515,1,314.13,1,1,1,111,Lost Customers
CUST000304,1277,2,3274.6800000000003,1,2,4,124,Lost Customers
CUST000305,521,1,2304.93,3,1,4,314,Others
CUST000306,347,3,2707.33,4,4,4,444,Champions
CUST000307,555,1,1816.25,3,1,3,313,Others
CUST000310,735,1,1645.06,2,1,3,213,Lost Customers
CUST000311,784,3,1725.4,2,4,3,243,Loyal Customers
CUST000312,719,3,2584.56,2,4,4,244,Loyal Customers
CUST000313,501,3,3698.21,3,4,5,345,Loyal Customers
CUST000314,1345,1,90.6,1,1,1,111,Lost Customers
CUST000315,981,1,336.82,2,1,1,211,Lost Customers
CUST000316,473,1,2336.11,3,1,4,314,Others
CUST000317,365,3,2709.2799999999997,4,4,4,444,Champions
CUST000318,896,1,1377.06,2,1,2,212,Lost Customers
CUST000320,1050,1,1050.53,2,1,2,212,Lost Customers
CUST000321,1607,1,744.8,1,1,2,112,Lost Customers
CUST000322,850,2,1234.93,2,2,2,222,Lost Customers
CUST000323,1410,1,526.98,1,1,1,111,Lost Customers
CUST000325,496,3,5719.84,3,4,5,345,Loyal Customers
CUST000326,551,4,3179.62,3,5,4,354,Loyal Customers
CUST000327,787,1,1120.75,2,1,2,212,Lost Customers
CUST000328,590,3,4764.299999999999,3,4,5,345,Loyal Customers
CUST000329,918,1,58.53,2,1,1,211,Lost Customers
CUST000331,278,7,4340.49,4,5,5,455,Champions
CUST000332,1207,1,1079.76,1,1,2,112,Lost Customers
CUST000333,864,2,1217.78,2,2,2,222,Lost Customers
CUST000334,357,1,41.59,4,1,1,411,Others
CUST000335,72,5,2108.65,5,5,3,553,Loyal Customers
CUST000336,545,1,2615.24,3,1,4,314,Others
CUST000337,425,1,875.36,3,1,2,312,Others
CUST000338,415,2,1210.45,3,2,2,322,Others
CUST000339,2,5,5584.96,5,5,5,555,Champions
CUST000340,35,6,5169.45,5,5,5,555,Champions
CUST000341,184,3,2239.38,4,4,4,444,Champions
CUST000342,821,3,1587.04,2,4,3,243,Loyal Customers
CUST000343,307,3,4014.76,4,4,5,445,Champions
CUST000344,297,2,722.5899999999999,4,2,2,422,Others
CUST000345,174,2,519.96,5,2,1,521,Others
CUST000346,1323,1,1988.09,1,1,3,113,Lost Customers
CUST000348,92,3,1453.38,5,4,3,543,Loyal Customers
CUST000349,1519,1,2307.31,1,1,4,114,Lost Customers
CUST000350,412,1,743.17,3,1,2,312,Others
CUST000351,91,1,103.71,5,1,1,511,Others
CUST000352,72,3,3333.27,5,4,4,544,Champions
CUST000353,303,4,5644.7300000000005,4,5,5,455,Champions
CUST000354,36,3,2930.54,5,4,4,544,Champions
CUST000356,1708,1,711.8,1,1,2,112,Lost Customers
CUST000357,261,3,1229.53,4,4,2,442,Potential Loyalists
CUST000359,1260,1,1185.32,1,1,2,112,Lost Customers
CUST000360,96,3,1967.07,5,4,3,543,Loyal Customers
CUST000361,400,4,5319.34,3,5,5,355,Loyal Customers
CUST000362,139,1,545.13,5,1,1,511,Others
CUST000363,257,2,1033.63,4,2,2,422,Others
CUST000365,1522,1,638.53,1,1,1,111,Lost Customers
CUST000366,687,3,1398.65,2,4,2,242,At Risk
CUST000367,4,3,3367.7799999999997,5,4,5,545,Champions
CUST000368,773,1,2303.63,2,1,4,214,Lost Customers
CUST000369,970,4,3131.52,2,5,4,254,Loyal Customers
CUST000370,19,1,399.08,5,1,1,511,Others
CUST000372,1785,1,396.62,1,1,1,111,Lost Customers
CUST000373,82,5,3070.69,5,5,4,554,Champions
CUST000374,754,2,732.73,2,2,2,222,Lost Customers
CUST000375,157,2,824.03,5,2,2,522,Others
CUST000376,1026,1,2018.6,2,1,3,213,Lost Customers
CUST000377,414,2,1481.12,3,2,3,323,Others
CUST000378,1314,1,1717.39,1,1,3,113,Lost Customers
CUST000380,328,2,802.83,4,2,2,422,Others
CUST000381,908,2,934.69,2,2,2,222,Lost Customers
CUST000382,112,3,1729.0700000000002,5,4,3,543,Loyal Customers
CUST000384,968,3,3636.5,2,4,5,245,Loyal Customers
CUST000385,1031,2,2442.5899999999997,2,2,4,224,Lost Customers
CUST000386,1199,3,4708.38,1,4,5,145,Loyal Customers
CUST000387,202,2,3821.1,4,2,5,425,Others
CUST000388,737,4,4863.29,2,5,5,255,Loyal Customers
CUST000389,218,2,1353.6399999999999,4,2,2,422,Others
CUST000390,495,3,2560.51,3,4,4,344,Loyal Customers
CUST000391,115,2,2924.38,5,2,4,524,Others
CUST000393,330,1,1622.7,4,1,3,413,Others
CUST000394,366,3,1852.96,4,4,3,443,Loyal Customers
CUST000396,228,5,3901.5,4,5,5,455,Champions
CUST000397,4,1,695.94,5,1,1,511,Others
CUST000398,1009,2,551.45,2,2,1,221,Lost Customers
CUST000399,183,4,1493.53,4,5,3,453,Loyal Customers
CUST000400,1368,1,1533.83,1,1,3,113,Lost Customers
CUST000401,130,2,2218.3,5,2,3,523,Others
CUST000402,555,2,2083.88,3,2,3,323,Others
CUST000403,22,3,1291.94,5,4,2,542,Potential Loyalists
CUST000404,984,1,21.89,2,1,1,211,Lost Customers
CUST000405,646,1,228.11,3,1,1,311,Others
CUST000406,294,3,2251.38,4,4,4,444,Champions
CUST000407,683,1,1043.36,2,1,2,212,Lost Customers
CUST000408,78,2,854.3900000000001,5,2,2,522,Others
CUST000409,1115,2,2014.04,1,2,3,123,Lost Customers
CUST000410,291,6,6184.72,4,5,5,455,Champions
CUST000411,294,6,4765.58,4,5,5,455,Champions
CUST000412,750,3,1705.48,2,4,3,243,Loyal Customers
CUST000413,346,2,196.26,4,2,1,421,Others
CUST000414,63,3,1922.1399999999999,5,4,3,543,Loyal Customers
CUST000415,54,2,2055.1,5,2,3,523,Others
CUST000416,818,3,3223.82,2,4,4,244,Loyal Customers
CUST000417,674,2,1989.6599999999999,2,2,3,223,Lost Customers
CUST000418,761,1,2153.32,2,1,3,213,Lost Customers
CUST000419,835,3,2491.87,2,4,4,244,Loyal Customers
CUST000420,699,1,520.47,2,1,1,211,Lost Customers
CUST000423,338,3,5134.67,4,4,5,445,Champions
CUST000424,1770,1,883.22,1,1,2,112,Lost Customers
CUST000425,704,2,2542.84,2,2,4,224,Lost Customers
CUST000426,395,1,1936.49,3,1,3,313,Others
CUST000427,4,1,490.89,5,1,1,511,Others
CUST000428,888,1,413.32,2,1,1,211,Lost Customers
CUST000429,218,4,2373.81,4,5,4,454,Champions
CUST000431,266,3,2645.48,4,4,4,444,Champions
CUST000432,642,2,242.5,3,2,1,321,Others
CUST000433,78,5,4240.62,5,5,5,555,Champions
CUST000434,923,2,2877.08,2,2,4,224,Lost Customers
CUST000435,137,3,3605.3900000000003,5,4,5,545,Champions
CUST000436,336,2,4516.87,4,2,5,425,Others
CUST000438,1647,2,1924.12,1,2,3,123,Lost Customers
CUST000439,1712,1,1824.72,1,1,3,113,Lost Customers
CUST000440,537,4,2921.29,3,5,4,354,Loyal Customers
CUST000441,1554,1,2035.71,1,1,3,113,Lost Customers
CUST000442,1485,2,1720.72,1,2,3,123,Lost Customers
CUST000443,959,2,439.15,2,2,1,221,Lost Customers
CUST000444,994,1,1018.92,2,1,2,212,Lost Customers
CUST000445,613,4,2871.08,3,5,4,354,Loyal Customers
CUST000446,35,2,3100.91,5,2,4,524,Others
CUST000447,61,6,4679.7699999999995,5,5,5,555,Champions
CUST000449,26,3,4869.67,5,4,5,545,Champions
CUST000450,191,4,4411.53,4,5,5,455,Champions
CUST000452,709,1,303.84,2,1,1,211,Lost Customers
CUST000453,240,3,2263.35,4,4,4,444,Champions
CUST000454,118,2,2728.45,5,2,4,524,Others
CUST000455,670,3,3823.3,3,4,5,345,Loyal Customers
CUST000456,725,3,699.65,2,4,1,241,At Risk
CUST000457,462,1,636.09,3,1,1,311,Others
CUST000458,1277,4,2615.8199999999997,1,5,4,154,Loyal Customers
CUST000459,511,4,5993.9800000000005,3,5,5,355,Loyal Customers
CUST000460,550,2,900.4,3,2,2,322,Others
CUST000461,1441,2,732.8199999999999,1,2,2,122,Lost Customers
CUST000462,151,5,5986.08,5,5,5,555,Champions
CUST000463,153,3,3741.32,5,4,5,545,Champions
CUST000464,522,2,1520.94,3,2,3,323,Others
CUST000465,1264,1,2569.71,1,1,4,114,Lost Customers
CUST000466,40,5,5865.030000000001,5,5,5,555,Champions
CUST000467,140,1,241.1,5,1,1,511,Others
CUST000468,120,2,2090.61,5,2,3,523,Others
CUST000469,88,4,2450.24,5,5,4,554,Champions
CUST000470,547,3,3492.46,3,4,5,345,Loyal Customers
CUST000471,1744,1,686.75,1,1,1,111,Lost Customers
CUST000472,1417,2,1843.8999999999999,1,2,3,123,Lost Customers
CUST000473,507,1,824.96,3,1,2,312,Others
CUST000474,885,1,612.99,2,1,1,211,Lost Customers
CUST000475,793,1,138.52,2,1,1,211,Lost Customers
CUST000476,385,2,3853.65,4,2,5,425,Others
CUST000477,183,2,3472.48,4,2,5,425,Others
CUST000478,713,3,5117.389999999999,2,4,5,245,Loyal Customers
CUST000479,598,1,841.03,3,1,2,312,Others
CUST000480,37,2,3165.14,5,2,4,524,Others
CUST000482,69,1,1135.99,5,1,2,512,Others
CUST000483,442,3,1131.52,3,4,2,342,Others
CUST000484,569,2,3297.99,3,2,4,324,Others
CUST000485,22,3,1533.24,5,4,3,543,Loyal Customers
CUST000486,1654,1,3096.71,1,1,4,114,Lost Customers
CUST000487,1614,1,1175.07,1,1,2,112,Lost Customers
CUST000488,221,5,2262.05,4,5,4,454,Champions
CUST000489,256,2,2078.66,4,2,3,423,Others
CUST000490,231,5,5636.639999999999,4,5,5,455,Champions
CUST000491,198,3,879.86,4,4,2,442,Potential Loyalists
CUST000493,770,3,1471.3500000000001,2,4,3,243,Loyal Customers
CUST000495,85,2,1502.4899999999998,5,2,3,523,Others
CUST000496,1271,1,739.05,1,1,2,112,Lost Customers
CUST000497,307,4,4356.110000000001,4,5,5,455,Champions
CUST000498,674,4,4998.37,2,5,5,255,Loyal Customers
CUST000500,572,3,2722.52,3,4,4,344,Loyal Customers
CUST000502,579,2,390.01,3,2,1,321,Others
CUST000503,1601,1,443.54,1,1,1,111,Lost Customers
CUST000504,158,1,116.69,5,1,1,511,Others
CUST000505,307,3,2823.8599999999997,4,4,4,444,Champions
CUST000507,323,1,283.36,4,1,1,411,Others
CUST000508,638,2,1307.23,3,2,2,322,Others
CUST000510,1187,2,341.54,1,2,1,121,Lost Customers
CUST000511,172,2,1567.84,5,2,3,523,Others
CUST000513,1578,1,983.61,1,1,2,112,Lost Customers
CUST000514,13,2,1012.2900000000001,5,2,2,522,Others
CUST000515,57,4,2377.04,5,5,4,554,Champions
CUST000516,1011,2,2424.68,2,2,4,224,Lost Customers
CUST000517,147,1,23.94,5,1,1,511,Others
CUST000519,1106,1,144.84,1,1,1,111,Lost Customers
CUST000521,88,4,3013.17,5,5,4,554,Champions
CUST000522,1015,3,2341.67,2,4,4,244,Loyal Customers
CUST000523,655,1,2403.72,3,1,4,314,Others
CUST000524,1458,1,1446.11,1,1,3,113,Lost Customers
CUST000525,29,3,1053.61,5,4,2,542,Potential Loyalists
CUST000526,680,3,2480.24,2,4,4,244,Loyal Customers
CUST000528,96,3,3153.5899999999997,5,4,4,544,Champions
CUST000529,941,1,2616.24,2,1,4,214,Lost Customers
CUST000530,885,1,426.2,2,1,1,211,Lost Customers
CUST000531,198,1,113.9,4,1,1,411,Others
CUST000532,330,5,4011.67,4,5,5,455,Champions
CUST000533,19,3,1859.52,5,4,3,543,Loyal Customers
CUST000534,74,4,4668.89,5,5,5,555,Champions
CUST000535,1067,3,987.25,2,4,2,242,At Risk
CUST000536,303,4,3583.52,4,5,5,455,Champions
CUST000537,591,5,2472.86,3,5,4,354,Loyal Customers
CUST000538,1255,2,3276.75,1,2,4,124,Lost Customers
CUST000539,41,2,1411.02,5,2,2,522,Others
CUST000541,907,1,958.75,2,1,2,212,Lost Customers
CUST000543,191,2,1702.19,4,2,3,423,Others
CUST000544,925,1,283.67,2,1,1,211,Lost Customers
CUST000545,1739,1,1293.68,1,1,2,112,Lost Customers
CUST000546,301,2,469.65999999999997,4,2,1,421,Others
CUST000547,177,3,710.96,4,4,2,442,Potential Loyalists
CUST000552,601,1,451.82,3,1,1,311,Others
CUST000553,489,1,1121.69,3,1,2,312,Others
CUST000555,137,5,3334.34,5,5,5,555,Champions
CUST000556,1443,1,1240.97,1,1,2,112,Lost Customers
CUST000557,157,2,624.48,5,2,1,521,Others
CUST000558,1194,1,442.15,1,1,1,111,Lost Customers
CUST000559,1304,2,1178.94,1,2,2,122,Lost Customers
CUST000560,1698,1,472.63,1,1,1,111,Lost Customers
CUST000561,1192,1,325.19,1,1,1,111,Lost Customers
CUST000562,259,2,1886.72,4,2,3,423,Others
CUST000563,910,2,809.9499999999999,2,2,2,222,Lost Customers
CUST000564,277,3,1728.0500000000002,4,4,3,443,Loyal Customers
CUST000565,700,3,3452.0,2,4,5,245,Loyal Customers
